ID,カテゴリ,問題,正答,誤答1,誤答2,誤答3,解説
117,AI倫理·AIガバナンス,EU AI Actで採用されている基本的な考え方はどれか。,リスクベースアプローチ,性能ベースアプローチ,教師あり学習アプローチ,クラウドファーストアプローチ,EU AI ActではAIシステムをリスクに応じて分類し、規制内容を定めている。
118,AIに関する法律と契約,著作者人格権に含まれるものはどれか。,同一性保持権,複製権,上映権,頒布権,同一性保持権は著作者人格権の一つであり、著作物を意に反して改変されない権利である。
119,AIの社会実装に向けて,"AIプロジェクトで『Garbage In, Garbage Out』が示す内容として適切なものはどれか。",質の低いデータからは質の低い結果しか得られない,大量のデータがあれば必ず高性能になる,AIはデータがなくても学習できる,GPU性能のみで精度が決まる,データ品質はAIシステムの性能に大きな影響を与える。
120,AI に必要な数理·統計知識,標準偏差の説明として最も適切なものはどれか。,データのばらつきの大きさを表す指標,データの最大値,データの中央値,データの個数,標準偏差は分散の平方根であり、データの散らばり具合を表す代表的な指標である。
121,人工知能とは,シンボルグラウンディング問題を提起した研究者は誰か。,Stevan Harnad,John Searle,Allen Newell,Marvin Minsky,Stevan Harnadは1990年にシンボルグラウンディング問題を提起した。
122,人工知能とは,Physical Symbol System Hypothesis（記号接地仮説ではなく、記号処理システム仮説）を提唱した人物の組み合わせはどれか。,Allen NewellとHerbert Simon,Geoffrey HintonとYann LeCun,John McCarthyとMarvin Minsky,Andrew NgとFei-Fei Li,NewellとSimonは記号処理によって知能を実現できると主張した。
123,人工知能をめぐる動向,誤差逆伝播法の普及に大きく貢献した1986年の論文の著者に含まれない人物は誰か。,Yann LeCun,David Rumelhart,Geoffrey Hinton,Ronald Williams,1986年の有名な論文の著者はRumelhart、Hinton、Williamsである。
124,人工知能をめぐる動向,深層学習の『三巨頭（Godfathers of AI）』に含まれない人物は誰か。,Andrew Ng,Geoffrey Hinton,Yann LeCun,Yoshua Bengio,AIの三巨頭として知られるのはHinton、LeCun、Bengioである。
125,機械学習の概要,混同行列において、実際は陰性だが陽性と予測した件数を何というか。,False Positive,True Positive,False Negative,True Negative,False Positive（偽陽性）は誤検知を表す。
126,機械学習の概要,適合率と再現率の調和平均を何というか。,F1スコア,AUC,ROC,RMSE,F1スコアはPrecisionとRecallのバランスを評価する指標である。
127,機械学習の概要,ROC曲線の横軸として正しいものはどれか。,偽陽性率（FPR）,真陽性率（TPR）,適合率,正解率,ROC曲線は横軸をFPR、縦軸をTPRとして描く。
128,機械学習の概要,データの次元数が増えることで学習が困難になる現象を何というか。,次元の呪い,勾配消失,過学習,アンダーフィッティング,高次元空間ではデータが疎になり、距離尺度などが機能しにくくなる。
129,ディープラーニングの概要,パーセプトロンでは表現できず、多層化によって解決された代表的な問題はどれか。,XOR問題,巡回セールスマン問題,ナップサック問題,停止性問題,単層パーセプトロンではXOR問題を解くことができない。
130,ディープラーニングの要素技術,Embeddingの主な目的はどれか。,離散的なデータを連続ベクトルへ変換すること,データを暗号化すること,モデルを圧縮すること,次元を必ず1次元にすること,単語埋め込みは単語の意味的関係を低次元ベクトルで表現する。
131,ディープラーニングの要素技術,Word2VecのCBOWモデルの説明として正しいものはどれか。,周辺単語から中心単語を予測する,中心単語から周辺単語を予測する,次単語のみを予測する,文全体を分類する,CBOWはContextからTargetを予測するモデルである。
132,ディープラーニングの要素技術,Word2VecのSkip-gramモデルの説明として正しいものはどれか。,中心単語から周辺単語を予測する,周辺単語から中心単語を予測する,文章全体を生成する,感情分析を行う,Skip-gramはTargetからContextを予測する。
133,ディープラーニングの要素技術,Attention機構の利点として最も適切なものはどれか。,入力の重要な部分へ重点的に注目できる,必ず計算量を削減できる,学習データを不要にする,過学習を完全に防ぐ,Attentionは入力系列中の重要な要素へ重み付けを行う。
134,ディープラーニングの要素技術,Encoder-Decoderアーキテクチャがよく利用されるタスクはどれか。,機械翻訳,クラスタリング,異常検知,回帰分析,系列から系列への変換である機械翻訳で広く利用されてきた。
135,ディープラーニングの応用例,AlphaGoで利用された技術の組み合わせとして正しいものはどれか。,深層学習と強化学習,決定木とSVM,PCAとk-means,線形回帰とロジスティック回帰,AlphaGoは深層ニューラルネットワークと強化学習を組み合わせている。
136,ディープラーニングの応用例,Diffusion Modelの主な用途はどれか。,画像生成,クラスタリング,次元削減,回帰分析,Diffusion Modelは近年の高品質な画像生成技術の中核となっている。
137,AI倫理·AIガバナンス,個人データを利用する際に、当初の利用目的を超えて利用しないという考え方を何というか。,目的限定の原則,データ最小化,透明性,説明可能性,個人情報保護では利用目的を明確にし、その範囲内で利用することが求められる。
138,AI倫理·AIガバナンス,OECD AI原則に含まれないものはどれか。,AIモデルのオープンソース化の義務,包摂的成長,透明性と説明可能性,堅牢性・安全性,OECD AI原則ではオープンソース化は義務付けていない。
139,AIの社会実装に向けて,CRISP-DMにおいて最初に行うフェーズはどれか。,ビジネス理解,データ理解,モデリング,評価,CRISP-DMはビジネス課題を理解することから始まる。
140,AI に必要な数理·統計知識,相関係数の取り得る値の範囲として正しいものはどれか。,-1から1,0から1,0から∞,-∞から∞,相関係数は-1から1の範囲をとり、線形関係の強さを表す。
141,人工知能とは,チューリングテストを提案した人物は誰か。,アラン・チューリング,ジョン・マッカーシー,ハーバート・サイモン,マービン・ミンスキー,チューリングテストは、機械が人間と区別できない対話能力を持つかを評価するために提案された。
142,人工知能とは,ダートマス会議が開催された年はいつか。,1956年,1945年,1969年,1986年,1956年のダートマス会議で『Artificial Intelligence』という用語が提唱された。
143,人工知能をめぐる動向,LSTMを提案した研究者の組み合わせとして正しいものはどれか。,Sepp HochreiterとJürgen Schmidhuber,Geoffrey HintonとYann LeCun,David RumelhartとRonald Williams,Ian GoodfellowとYoshua Bengio,LSTMは1997年にHochreiterとSchmidhuberによって提案された。
144,機械学習の概要,教師なし学習の代表的なアルゴリズムであるk-means法の目的は何か。,データをクラスタに分割すること,データを分類すること,連続値を予測すること,特徴量を生成すること,k-means法はデータ間の類似性に基づいてクラスタを形成する。
145,機械学習の概要,主成分分析（PCA）で保持したいものはどれか。,データの分散,データ数,平均値,外れ値,PCAは分散をできるだけ保持しながら次元削減を行う。
146,機械学習の概要,サポートベクターマシン（SVM）の特徴として正しいものはどれか。,マージンを最大化する超平面を求める,データをクラスタリングする,系列データを処理する,生成モデルである,SVMはクラス間のマージンを最大化する識別モデルである。
147,ディープラーニングの要素技術,CNNにおける畳み込み層の役割として最も適切なものはどれか。,画像の局所的特徴を抽出する,データを暗号化する,出力を確率分布へ変換する,勾配を消失させる,畳み込み層ではエッジや模様などの局所特徴を効率的に抽出する。
148,ディープラーニングの要素技術,勾配爆発（Gradient Explosion）の説明として正しいものはどれか。,勾配が極端に大きくなり学習が不安定になる現象,勾配が0になる現象,モデルサイズが急増する現象,データ量が急増する現象,RNNなどで発生しやすく、勾配クリッピングなどで対処する。
149,ディープラーニングの要素技術,知識蒸留（Knowledge Distillation）の目的として最も適切なものはどれか。,大規模モデルの知識を小規模モデルへ移すこと,データを増やすこと,特徴量を削除すること,学習率を最適化すること,蒸留ではTeacherモデルの知識をStudentモデルへ継承する。
150,ディープラーニングの応用例,RAG（Retrieval-Augmented Generation）の特徴として正しいものはどれか。,外部知識を検索して生成に利用する,画像のみを生成する,モデルサイズを削減する,教師なし学習のみで利用できる,RAGは検索と生成を組み合わせることで最新情報や社内情報を活用できる。
151,ディープラーニングの応用例,Few-shot Learningとは何か。,少数の例を与えてタスクを実行させる手法,学習データを使わない手法,教師なし学習の一種,モデルを圧縮する手法,LLMではプロンプト内に少数の例を与えることで性能を向上させる。
152,ディープラーニングの応用例,Zero-shot Learningとは何か。,例を与えずにタスクを実行する手法,データを0件に削減する手法,パラメータ数を0にする手法,学習を行わない手法,LLMでは指示のみで未知のタスクを実行できる場合がある。
153,AI倫理·AIガバナンス,LIMEやSHAPが用いられる主な目的は何か。,モデルの予測を説明すること,データを圧縮すること,モデルを軽量化すること,データを匿名化すること,LIMEやSHAPは説明可能AI（XAI）の代表的手法である。
154,AI倫理·AIガバナンス,フェデレーテッドラーニングの特徴として正しいものはどれか。,データを集約せず各端末で学習を行う,必ず中央サーバに全データを集約する,画像データのみ扱える,教師なし学習専用である,フェデレーテッドラーニングはプライバシー保護の観点から注目されている。
155,AI倫理·AIガバナンス,差分プライバシーの目的として最も適切なものはどれか。,個人の情報が推定されにくくすること,データを暗号化すること,データ量を削減すること,モデルを高速化すること,差分プライバシーではノイズを付与して個人の識別リスクを低減する。
156,AIに関する法律と契約,著作権が保護する対象として最も適切なものはどれか。,思想又は感情を創作的に表現したもの,単なる事実,アイデアそのもの,数学の公式,著作権法では表現を保護し、アイデア自体は保護対象ではない。
157,AIに関する法律と契約,オプトアウトによる第三者提供が認められるために必要な対応として適切なものはどれか。,本人が提供停止を求められる仕組みを設けること,本人の同意を不要とすること,利用目的を定めないこと,匿名化を行わないこと,個人情報保護法では一定の条件下でオプトアウトによる第三者提供が認められている。
158,AI の社会実装に向けて,データサイエンスにおけるEDAとは何を指すか。,探索的データ分析,説明可能AI,電子データ交換,異常検知,EDA（Exploratory Data Analysis）はデータの特徴や傾向を把握するための分析である。
159,AI の社会実装に向けて,AIシステムにおけるデータパイプラインの目的として適切なものはどれか。,データの収集・加工・供給を自動化すること,モデルを軽量化すること,法規制を管理すること,GPUを制御すること,データパイプラインは安定したデータ供給と運用効率化に寄与する。
160,AI に必要な数理·統計知識,標本から母集団の性質を推測する統計手法を何というか。,推測統計,記述統計,最適化,クラスタリング,推測統計では標本データから母平均や母分散などを推定する。
161,人工知能とは,エージェントが環境を認識し行動するというAIの考え方を体系化した著書『Artificial Intelligence: A Modern Approach』の著者の組み合わせはどれか。,Stuart RussellとPeter Norvig,Allen NewellとHerbert Simon,John McCarthyとMarvin Minsky,Geoffrey HintonとYoshua Bengio,RussellとNorvigの教科書は現代AIの標準的な教科書として広く利用されている。
162,人工知能をめぐる動向,AlphaGoで採用された探索手法はどれか。,モンテカルロ木探索（MCTS）,A*探索,幅優先探索,焼きなまし法,AlphaGoは深層学習とMCTSを組み合わせることで囲碁で高い性能を実現した。
163,人工知能をめぐる動向,2018年に自然言語処理の事前学習モデルとして大きな影響を与えたモデルはどれか。,BERT,LeNet,AlexNet,Word2Vec,BERTは事前学習＋ファインチューニングの流れを加速させた。
164,機械学習の概要,AUCが表しているものとして最も適切なものはどれか。,ROC曲線の下面積,損失関数の最小値,モデルの学習速度,データの分散,AUCは分類器の性能を閾値に依存せず評価できる指標である。
165,機械学習の概要,特徴量のスケールを揃えるために行われる処理を何というか。,標準化,蒸留,量子化,アンサンブル,標準化は平均0、分散1となるようにデータを変換する代表的な前処理である。
166,機械学習の概要,教師あり学習において、学習データとテストデータを分ける主な目的は何か。,未知データへの汎化性能を評価するため,計算速度を向上させるため,データを暗号化するため,特徴量を削減するため,訓練データのみで評価すると過学習を見逃す可能性がある。
167,ディープラーニングの概要,ミニバッチ学習の説明として正しいものはどれか。,データを小さな単位に分割して学習を行う方法,データを1件ずつ学習する方法,全データを毎回利用する方法,教師なし学習のみで利用する方法,ミニバッチ学習は計算効率と学習安定性のバランスが良い。
168,ディープラーニングの要素技術,勾配降下法の学習率が大きすぎる場合に起こりやすい現象はどれか。,最適解の周辺で発散・振動する,学習速度が必ず向上する,過学習が解消する,勾配消失が発生する,学習率が大きすぎると最適解へ収束できないことがある。
169,ディープラーニングの要素技術,RNNが苦手としていた問題を改善するためにGRUやLSTMが導入された主な理由は何か。,長期依存関係を学習するため,計算量を増加させるため,画像認識性能を向上させるため,データを匿名化するため,LSTMやGRUはゲート機構によって長期依存関係を扱いやすくした。
170,ディープラーニングの要素技術,Transformerで系列の順序情報を扱うために導入されるものはどれか。,Positional Encoding,Dropout,Batch Normalization,Pooling,Self-Attention単体では順序情報を扱えないため位置エンコーディングを加える。
171,ディープラーニングの応用例,ファインチューニングの説明として最も適切なものはどれか。,事前学習済みモデルを特定タスク向けに追加学習すること,モデルを圧縮すること,データを匿名化すること,特徴量を削減すること,LLMや画像モデルで広く利用される手法である。
172,ディープラーニングの応用例,LoRAの目的として最も適切なものはどれか。,少ない追加パラメータで効率的にファインチューニングすること,モデルを暗号化すること,画像生成を行うこと,データを圧縮すること,LoRAはPEFT（Parameter-Efficient Fine-Tuning）の代表的手法である。
173,ディープラーニングの応用例,プロンプトエンジニアリングの目的として最も適切なものはどれか。,生成AIから望ましい出力を得るために入力を工夫すること,モデルのパラメータを削減すること,学習データを増やすこと,GPUを高速化すること,生成AIではプロンプト設計が性能に大きく影響する。
174,AI倫理·AIガバナンス,NIST AI RMFのRMFは何の略か。,Risk Management Framework,Resource Management Function,Regulation Monitoring Framework,Research Model Framework,NIST AI RMFはAIリスクを管理するためのフレームワークである。
175,AI倫理·AIガバナンス,AIシステムに対して継続的にリスクを監視・管理する考え方として最も適切なものはどれか。,AIガバナンス,転移学習,蒸留,データ拡張,AIガバナンスは組織的・継続的にAIのリスクを管理するための枠組みである。
176,AIに関する法律と契約,不正競争防止法で営業秘密として保護されるための要件に含まれないものはどれか。,著作物であること,秘密管理性,有用性,非公知性,営業秘密の要件は秘密管理性・有用性・非公知性の3つである。
177,AIに関する法律と契約,著作権の保護期間の原則として正しいものはどれか。,著作者の死後70年,著作者の死後30年,著作者の死後50年,永久に保護される,日本では原則として著作者の死後70年間保護される。
178,AI の社会実装に向けて,AIシステムを本番環境へ展開することを一般に何というか。,デプロイ,アノテーション,正則化,サンプリング,モデルを利用可能な環境へ配置する工程をデプロイという。
179,AI の社会実装に向けて,アノテーションの説明として最も適切なものはどれか。,データにラベルを付与する作業,モデルを圧縮する作業,データを削除する作業,契約書を作成する作業,教師あり学習では高品質なアノテーションが重要である。
180,AI に必要な数理·統計知識,正規分布の特徴として最も適切なものはどれか。,平均値を中心とした左右対称の分布,必ず一様に分布する,0と1の間のみを取る,離散値のみを取る,正規分布は統計学や機械学習で最も重要な確率分布の一つである。
